X	Y	Class label
continuous	continuous	circle rect
		class
0.133	0.870	rect
0.151	0.876	rect
0.112	0.887	rect
0.109	0.906	rect
0.123	0.897	rect
0.155	0.910	rect
0.169	0.870	rect
0.155	0.902	rect
0.135	0.867	rect
0.113	0.863	rect
0.134	0.870	rect
0.138	0.841	rect
0.111	0.880	rect
0.120	0.890	rect
0.135	0.896	rect
0.118	0.877	rect
0.152	0.871	rect
0.096	0.889	rect
0.106	0.886	rect
0.108	0.856	rect
0.094	0.883	rect
0.124	0.853	rect
0.128	0.884	rect
0.141	0.863	rect
0.100	0.877	rect
0.122	0.866	rect
0.128	0.856	rect
0.120	0.855	rect
0.112	0.859	rect
0.089	0.846	rect
0.114	0.895	rect
0.120	0.877	rect
0.103	0.863	rect
0.145	0.863	rect
0.138	0.851	rect
0.120	0.855	rect
0.125	0.878	rect
0.123	0.864	rect
0.091	0.864	rect
0.130	0.853	rect
0.127	0.830	rect
0.123	0.846	rect
0.131	0.852	rect
0.137	0.867	rect
0.116	0.870	rect
0.091	0.848	rect
0.129	0.839	rect
0.098	0.845	rect
0.117	0.892	rect
0.135	0.836	rect
0.103	0.863	rect
0.126	0.852	rect
0.117	0.860	rect
0.136	0.853	rect
0.147	0.878	rect
0.108	0.869	rect
0.112	0.848	rect
0.133	0.864	rect
0.075	0.854	rect
0.132	0.820	rect
0.138	0.857	rect
0.137	0.831	rect
0.128	0.856	rect
0.110	0.827	rect
0.123	0.871	rect
0.114	0.857	rect
0.082	0.859	rect
0.109	0.847	rect
0.099	0.880	rect
0.105	0.846	rect
0.127	0.845	rect
0.110	0.857	rect
0.093	0.853	rect
0.157	0.853	rect
0.104	0.841	rect
0.088	0.847	rect
0.151	0.828	rect
0.119	0.841	rect
0.176	0.875	rect
0.132	0.868	rect
0.117	0.824	rect
0.135	0.849	rect
0.101	0.835	rect
0.120	0.819	rect
0.125	0.838	rect
0.115	0.820	rect
0.127	0.827	rect
0.109	0.847	rect
0.108	0.842	rect
0.103	0.841	rect
0.116	0.841	rect
0.109	0.819	rect
0.095	0.825	rect
0.129	0.879	rect
0.109	0.857	rect
0.135	0.806	rect
0.119	0.861	rect
0.091	0.845	rect
0.099	0.859	rect
0.124	0.852	rect
0.143	0.843	rect
0.113	0.831	rect
0.140	0.841	rect
0.081	0.833	rect
0.110	0.787	rect
0.132	0.828	rect
0.113	0.843	rect
0.074	0.794	rect
0.125	0.830	rect
0.133	0.830	rect
0.101	0.832	rect
0.121	0.826	rect
0.128	0.832	rect
0.108	0.815	rect
0.121	0.813	rect
0.115	0.852	rect
0.110	0.813	rect
0.118	0.831	rect
0.138	0.849	rect
0.115	0.848	rect
0.133	0.786	rect
0.119	0.837	rect
0.128	0.819	rect
0.104	0.827	rect
0.106	0.823	rect
0.121	0.792	rect
0.128	0.839	rect
0.112	0.863	rect
0.102	0.834	rect
0.110	0.835	rect
0.143	0.810	rect
0.093	0.803	rect
0.140	0.816	rect
0.114	0.824	rect
0.124	0.810	rect
0.110	0.843	rect
0.100	0.829	rect
0.115	0.804	rect
0.119	0.796	rect
0.137	0.819	rect
0.137	0.796	rect
0.121	0.780	rect
0.118	0.800	rect
0.137	0.814	rect
0.076	0.804	rect
0.142	0.772	rect
0.078	0.803	rect
0.107	0.801	rect
0.118	0.805	rect
0.115	0.773	rect
0.120	0.815	rect
0.132	0.817	rect
0.145	0.766	rect
0.137	0.811	rect
0.118	0.802	rect
0.122	0.764	rect
0.101	0.820	rect
0.111	0.817	rect
0.130	0.761	rect
0.137	0.783	rect
0.094	0.794	rect
0.146	0.767	rect
0.107	0.768	rect
0.106	0.792	rect
0.102	0.785	rect
0.122	0.771	rect
0.138	0.784	rect
0.085	0.790	rect
0.127	0.803	rect
0.146	0.822	rect
0.123	0.770	rect
0.124	0.751	rect
0.106	0.813	rect
0.127	0.786	rect
0.135	0.808	rect
0.111	0.756	rect
0.113	0.786	rect
0.101	0.794	rect
0.108	0.765	rect
0.105	0.755	rect
0.137	0.781	rect
0.125	0.757	rect
0.116	0.753	rect
0.177	0.753	rect
0.106	0.777	rect
0.130	0.762	rect
0.128	0.735	rect
0.106	0.775	rect
0.105	0.751	rect
0.122	0.749	rect
0.134	0.759	rect
0.136	0.724	rect
0.120	0.745	rect
0.129	0.716	rect
0.101	0.755	rect
0.120	0.750	rect
0.159	0.765	rect
0.127	0.745	rect
0.110	0.744	rect
0.112	0.742	rect
0.143	0.739	rect
0.116	0.721	rect
0.127	0.736	rect
0.128	0.718	rect
0.133	0.756	rect
0.126	0.725	rect
0.131	0.757	rect
0.118	0.737	rect
0.131	0.730	rect
0.108	0.751	rect
0.095	0.724	rect
0.131	0.715	rect
0.131	0.714	rect
0.132	0.722	rect
0.114	0.708	rect
0.111	0.702	rect
0.134	0.722	rect
0.133	0.692	rect
0.143	0.730	rect
0.128	0.713	rect
0.118	0.677	rect
0.102	0.713	rect
0.163	0.707	rect
0.112	0.708	rect
0.131	0.711	rect
0.157	0.677	rect
0.131	0.722	rect
0.130	0.674	rect
0.117	0.671	rect
0.115	0.722	rect
0.128	0.680	rect
0.149	0.698	rect
0.117	0.658	rect
0.127	0.661	rect
0.123	0.658	rect
0.116	0.662	rect
0.152	0.680	rect
0.147	0.662	rect
0.111	0.666	rect
0.146	0.657	rect
0.159	0.689	rect
0.142	0.661	rect
0.124	0.642	rect
0.157	0.645	rect
0.110	0.662	rect
0.126	0.664	rect
0.128	0.660	rect
0.128	0.666	rect
0.132	0.670	rect
0.147	0.652	rect
0.123	0.647	rect
0.110	0.661	rect
0.145	0.647	rect
0.096	0.623	rect
0.126	0.612	rect
0.127	0.657	rect
0.115	0.668	rect
0.094	0.636	rect
0.114	0.658	rect
0.145	0.622	rect
0.126	0.609	rect
0.131	0.648	rect
0.123	0.614	rect
0.119	0.625	rect
0.134	0.614	rect
0.146	0.637	rect
0.163	0.615	rect
0.140	0.616	rect
0.153	0.618	rect
0.175	0.621	rect
0.142	0.579	rect
0.149	0.580	rect
0.152	0.623	rect
0.131	0.599	rect
0.140	0.613	rect
0.134	0.583	rect
0.125	0.592	rect
0.149	0.564	rect
0.112	0.571	rect
0.126	0.601	rect
0.118	0.580	rect
0.125	0.568	rect
0.148	0.568	rect
0.125	0.575	rect
0.153	0.596	rect
0.149	0.571	rect
0.146	0.610	rect
0.152	0.562	rect
0.114	0.579	rect
0.116	0.579	rect
0.129	0.514	rect
0.157	0.529	rect
0.122	0.533	rect
0.114	0.551	rect
0.122	0.550	rect
0.151	0.568	rect
0.145	0.559	rect
0.154	0.543	rect
0.134	0.547	rect
0.142	0.546	rect
0.113	0.521	rect
0.127	0.530	rect
0.127	0.524	rect
0.127	0.526	rect
0.139	0.554	rect
0.137	0.565	rect
0.131	0.539	rect
0.145	0.547	rect
0.118	0.567	rect
0.129	0.542	rect
0.139	0.516	rect
0.144	0.537	rect
0.151	0.498	rect
0.138	0.500	rect
0.136	0.522	rect
0.124	0.525	rect
0.109	0.519	rect
0.105	0.504	rect
0.170	0.494	rect
0.175	0.523	rect
0.142	0.502	rect
0.151	0.498	rect
0.118	0.461	rect
0.127	0.500	rect
0.126	0.478	rect
0.140	0.486	rect
0.169	0.506	rect
0.143	0.477	rect
0.131	0.465	rect
0.131	0.485	rect
0.148	0.445	rect
0.149	0.451	rect
0.139	0.470	rect
0.146	0.461	rect
0.116	0.456	rect
