X	Y	Class label
continuous	continuous	left right
		class
0.589	0.799	left
0.642	0.816	left
0.526	0.850	left
0.516	0.908	left
0.560	0.880	left
0.652	0.918	left
0.694	0.800	left
0.651	0.894	left
0.592	0.791	left
0.524	0.777	left
0.589	0.809	left
0.604	0.721	left
0.521	0.838	left
0.547	0.869	left
0.593	0.887	left
0.536	0.830	left
0.639	0.812	left
0.471	0.865	left
0.501	0.856	left
0.506	0.765	left
0.471	0.865	left
0.561	0.776	left
0.573	0.870	left
0.614	0.806	left
0.489	0.848	left
0.553	0.815	left
0.571	0.786	left
0.546	0.782	left
0.522	0.794	left
0.453	0.757	left
0.523	0.908	left
0.541	0.855	left
0.489	0.811	left
0.615	0.810	left
0.595	0.776	left
0.537	0.788	left
0.552	0.858	left
0.545	0.814	left
0.450	0.816	left
0.565	0.782	left
0.557	0.734	left
0.544	0.780	left
0.568	0.798	left
0.588	0.844	left
0.524	0.852	left
0.445	0.787	left
0.560	0.761	left
0.468	0.777	left
0.524	0.917	left
0.579	0.749	left
0.481	0.846	left
0.549	0.813	left
0.524	0.838	left
0.581	0.817	left
0.613	0.890	left
0.493	0.865	left
0.505	0.802	left
0.568	0.850	left
0.394	0.818	left
0.564	0.717	left
0.586	0.842	left
0.584	0.765	left
0.558	0.841	left
0.504	0.752	left
0.540	0.884	left
0.513	0.843	left
0.416	0.849	left
0.497	0.811	left
0.468	0.910	left
0.487	0.809	left
0.550	0.817	left
0.500	0.853	left
0.448	0.839	left
0.639	0.841	left
0.481	0.803	left
0.432	0.821	left
0.621	0.764	left
0.524	0.803	left
0.694	0.906	left
0.562	0.882	left
0.514	0.761	left
0.567	0.834	left
0.464	0.791	left
0.522	0.746	left
0.537	0.803	left
0.497	0.748	left
0.532	0.768	left
0.478	0.828	left
0.475	0.812	left
0.461	0.808	left
0.495	0.828	left
0.476	0.761	left
0.433	0.782	left
0.536	0.943	left
0.474	0.875	left
0.543	0.722	left
0.495	0.888	left
0.412	0.840	left
0.436	0.880	left
0.509	0.859	left
0.561	0.852	left
0.472	0.817	left
0.554	0.847	left
0.375	0.822	left
0.461	0.686	left
0.523	0.807	left
0.466	0.851	left
0.350	0.703	left
0.502	0.811	left
0.526	0.811	left
0.429	0.838	left
0.489	0.819	left
0.509	0.838	left
