X	Y	Class label
continuous	continuous	Blue Red
		class
0.358	0.797	Blue
0.394	0.809	Blue
0.314	0.832	Blue
0.308	0.870	Blue
0.338	0.852	Blue
0.400	0.877	Blue
0.429	0.798	Blue
0.399	0.861	Blue
0.359	0.792	Blue
0.312	0.782	Blue
0.357	0.803	Blue
0.367	0.744	Blue
0.311	0.822	Blue
0.329	0.843	Blue
0.360	0.855	Blue
0.320	0.816	Blue
0.390	0.805	Blue
0.274	0.840	Blue
0.295	0.834	Blue
0.299	0.773	Blue
0.274	0.837	Blue
0.335	0.777	Blue
0.343	0.841	Blue
0.372	0.797	Blue
0.286	0.826	Blue
0.328	0.803	Blue
0.340	0.784	Blue
0.324	0.781	Blue
0.307	0.789	Blue
0.260	0.764	Blue
0.308	0.864	Blue
0.320	0.828	Blue
0.284	0.799	Blue
0.371	0.799	Blue
0.358	0.775	Blue
0.318	0.781	Blue
0.328	0.827	Blue
0.323	0.798	Blue
0.258	0.799	Blue
0.337	0.776	Blue
0.327	0.742	Blue
0.318	0.773	Blue
0.335	0.785	Blue
0.349	0.816	Blue
0.305	0.822	Blue
0.250	0.776	Blue
0.329	0.759	Blue
0.265	0.770	Blue
0.304	0.864	Blue
0.341	0.751	Blue
0.273	0.811	Blue
0.319	0.789	Blue
0.302	0.806	Blue
0.341	0.791	Blue
0.363	0.840	Blue
0.273	0.819	Blue
0.280	0.777	Blue
0.324	0.809	Blue
0.204	0.787	Blue
0.321	0.719	Blue
0.332	0.799	Blue
0.331	0.747	Blue
0.313	0.798	Blue
0.275	0.738	Blue
0.301	0.827	Blue
0.278	0.796	Blue
0.211	0.800	Blue
0.267	0.775	Blue
0.247	0.841	Blue
0.260	0.773	Blue
0.301	0.772	Blue
0.266	0.796	Blue
0.230	0.787	Blue
0.362	0.788	Blue
0.253	0.763	Blue
0.218	0.770	Blue
0.347	0.732	Blue
0.281	0.759	Blue
0.397	0.828	Blue
0.307	0.812	Blue
0.274	0.727	Blue
0.310	0.776	Blue
0.240	0.747	Blue
0.279	0.717	Blue
0.290	0.755	Blue
0.266	0.712	Blue
0.289	0.726	Blue
0.253	0.766	Blue
0.250	0.756	Blue
0.241	0.753	Blue
0.267	0.758	Blue
0.254	0.713	Blue
0.224	0.727	Blue
0.295	0.835	Blue
0.252	0.790	Blue
0.300	0.676	Blue
0.267	0.788	Blue
0.210	0.755	Blue
0.226	0.782	Blue
0.276	0.768	Blue
0.307	0.753	Blue
0.246	0.729	Blue
0.301	0.749	Blue
0.179	0.732	Blue
0.238	0.641	Blue
0.275	0.708	Blue
0.236	0.738	Blue
0.156	0.639	Blue
0.261	0.711	Blue
0.277	0.711	Blue
0.210	0.719	Blue
0.251	0.707	Blue
0.265	0.719	Blue
0.225	0.684	Blue
0.251	0.681	Blue
0.235	0.750	Blue
0.224	0.672	Blue
0.241	0.707	Blue
0.283	0.743	Blue
0.235	0.741	Blue
0.270	0.618	Blue
0.242	0.720	Blue
0.260	0.685	Blue
0.211	0.700	Blue
0.214	0.693	Blue
0.241	0.620	Blue
0.256	0.714	Blue
0.223	0.762	Blue
0.203	0.703	Blue
0.218	0.706	Blue
0.287	0.658	Blue
0.183	0.645	Blue
0.282	0.671	Blue
0.228	0.686	Blue
0.247	0.657	Blue
0.217	0.709	Blue
0.197	0.681	Blue
0.227	0.630	Blue
0.236	0.614	Blue
0.273	0.660	Blue
0.271	0.615	Blue
0.238	0.584	Blue
0.233	0.624	Blue
0.270	0.652	Blue
0.145	0.632	Blue
0.280	0.549	Blue
0.148	0.611	Blue
0.209	0.608	Blue
0.231	0.615	Blue
0.224	0.551	Blue
0.233	0.641	Blue
0.259	0.645	Blue
0.286	0.542	Blue
0.270	0.632	Blue
0.231	0.615	Blue
0.241	0.520	Blue
0.197	0.633	Blue
0.219	0.627	Blue
0.256	0.515	Blue
0.271	0.558	Blue
0.183	0.582	Blue
0.289	0.527	Blue
0.209	0.530	Blue
0.206	0.578	Blue
0.199	0.563	Blue
0.238	0.519	Blue
0.272	0.546	Blue
0.162	0.558	Blue
0.250	0.584	Blue
0.288	0.623	Blue
0.241	0.524	Blue
0.243	0.486	Blue
0.205	0.610	Blue
0.250	0.557	Blue
0.266	0.600	Blue
0.220	0.476	Blue
0.223	0.536	Blue
0.200	0.553	Blue
0.213	0.494	Blue
0.207	0.475	Blue
0.272	0.536	Blue
0.249	0.487	Blue
0.230	0.480	Blue
0.355	0.479	Blue
0.209	0.528	Blue
0.264	0.477	Blue
0.260	0.423	Blue
0.214	0.502	Blue
0.211	0.454	Blue
0.247	0.450	Blue
0.273	0.481	Blue
0.277	0.411	Blue
0.244	0.453	Blue
0.264	0.395	Blue
0.205	0.472	Blue
0.258	0.437	Blue
0.339	0.467	Blue
0.272	0.427	Blue
0.236	0.425	Blue
0.241	0.422	Blue
0.308	0.420	Blue
0.253	0.385	Blue
0.275	0.415	Blue
0.278	0.378	Blue
0.289	0.455	Blue
0.287	0.375	Blue
0.296	0.439	Blue
0.271	0.399	Blue
0.297	0.384	Blue
0.249	0.427	Blue
0.235	0.388	Blue
0.310	0.370	Blue
0.308	0.369	Blue
0.312	0.385	Blue
0.274	0.356	Blue
0.282	0.326	Blue
0.330	0.365	Blue
0.327	0.306	Blue
0.348	0.381	Blue
0.316	0.347	Blue
0.310	0.294	Blue
0.276	0.367	Blue
0.402	0.355	Blue
0.297	0.356	Blue
0.336	0.363	Blue
0.411	0.278	Blue
0.357	0.367	Blue
0.355	0.272	Blue
0.329	0.265	Blue
0.325	0.368	Blue
0.361	0.324	Blue
0.404	0.359	Blue
0.339	0.279	Blue
0.361	0.284	Blue
0.352	0.279	Blue
0.343	0.285	Blue
0.416	0.322	Blue
0.406	0.285	Blue
0.332	0.293	Blue
0.405	0.274	Blue
0.431	0.375	Blue
0.397	0.319	Blue
0.359	0.282	Blue
0.426	0.287	Blue
0.330	0.322	Blue
0.366	0.325	Blue
0.368	0.317	Blue
0.370	0.330	Blue
0.378	0.337	Blue
0.407	0.301	Blue
0.608	0.661	Red
0.581	0.689	Red
0.654	0.662	Red
0.552	0.613	Red
0.614	0.591	Red
0.566	0.669	Red
0.542	0.689	Red
0.498	0.626	Red
0.539	0.670	Red
0.603	0.598	Red
0.552	0.564	Red
0.562	0.642	Red
0.546	0.576	Red
0.537	0.596	Red
0.568	0.574	Red
0.615	0.592	Red
0.651	0.547	Red
0.603	0.550	Red
0.631	0.553	Red
0.675	0.560	Red
0.641	0.500	Red
0.656	0.503	Red
0.661	0.590	Red
0.620	0.542	Red
0.637	0.569	Red
0.642	0.516	Red
0.623	0.535	Red
0.673	0.478	Red
0.596	0.492	Red
0.625	0.553	Red
0.626	0.570	Red
0.642	0.546	Red
0.688	0.547	Red
0.640	0.561	Red
0.699	0.602	Red
0.696	0.572	Red
0.689	0.649	Red
0.702	0.554	Red
0.624	0.588	Red
0.628	0.587	Red
0.655	0.537	Red
0.713	0.566	Red
0.639	0.575	Red
0.623	0.612	Red
0.639	0.609	Red
0.689	0.671	Red
0.677	0.652	Red
0.694	0.620	Red
0.654	0.628	Red
0.670	0.627	Red
0.601	0.606	Red
0.629	0.624	Red
0.628	0.611	Red
0.628	0.615	Red
0.654	0.673	Red
0.642	0.700	Red
0.630	0.647	Red
0.658	0.663	Red
0.604	0.704	Red
0.626	0.655	Red
0.622	0.656	Red
0.631	0.699	Red
0.646	0.620	Red
0.618	0.624	Red
0.615	0.667	Red
0.569	0.667	Red
0.538	0.654	Red
0.530	0.625	Red
0.663	0.605	Red
0.674	0.664	Red
0.574	0.648	Red
0.593	0.639	Red
0.525	0.565	Red
0.544	0.643	Red
0.540	0.599	Red
0.558	0.597	Red
0.615	0.637	Red
0.564	0.578	Red
0.538	0.555	Red
0.538	0.596	Red
0.568	0.569	Red
0.570	0.582	Red
0.549	0.618	Red
0.564	0.602	Red
0.502	0.591	Red
0.512	0.573	Red
0.603	0.479	Red
0.604	0.531	Red
0.569	0.588	Red
0.588	0.548	Red
0.582	0.544	Red
0.549	0.544	Red
0.504	0.584	Red
0.596	0.585	Red
0.555	0.533	Red
0.586	0.498	Red
0.618	0.508	Red
0.594	0.526	Red
0.642	0.547	Red
0.579	0.574	Red
0.632	0.533	Red
0.656	0.479	Red
